source,source_name,issue,suggested_action
world_bank,Western Armenia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Western Australia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Western Isles,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Western Sahara,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Yemen DPR,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Ynys Môn,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Yorkshire,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Yoruba Nation,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Yugoslavia,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Zanzibar,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
world_bank,Åland Islands,no_world_bank_mapping,Add or fix data_pipeline/reference/country_name_mappings.csv.
